Customer_ID,risk_score,risk_category
7706-DZNKK,3,"Medium risk"
0236-HFWSV,5,"High risk"
3900-AQPHZ,4,"High risk"
5842-POCOP,5,"High risk"
2037-XJFUP,4,"High risk"
8823-RLPWL,3,"Medium risk"
9505-SQFSW,3,"Medium risk"
7314-OXENN,5,"High risk"
3758-CKOQL,2,"Medium risk"
0322-CHQRU,4,"High risk"
5676-CFLYY,0,"Low risk"
7521-AFHAB,3,"Medium risk"
0285-INHLN,2,"Medium risk"
4678-DVQEO,3,"Medium risk"
5125-CNDSP,0,"Low risk"
0691-IFBQW,4,"High risk"
4992-LTJNE,1,"Low risk"
2202-OUTMO,1,"Low risk"
0810-BDHAW,1,"Low risk"
0229-LFJAF,0,"Low risk"
7131-ZQZNK,0,"Low risk"
3442-ZHHCC,1,"Low risk"
5726-CVNYA,2,"Medium risk"
9871-ELEYA,0,"Low risk"
4257-GAESD,3,"Medium risk"
5173-WXOQV,2,"Medium risk"
2040-OBMLJ,2,"Medium risk"
6286-ZHAOK,2,"Medium risk"
3807-XHCJH,3,"Medium risk"
3009-JWMPU,4,"High risk"
5671-RQRLP,2,"Medium risk"
1450-GALXR,5,"High risk"
8859-AXJZP,1,"Low risk"
3174-AKMAS,0,"Low risk"
3138-BKYAV,5,"High risk"
9926-PJHDQ,1,"Low risk"
7382-DFJTU,1,"Low risk"
2798-NYLMZ,2,"Medium risk"
4289-DTDKW,4,"High risk"
1820-TQVEV,5,"High risk"
2239-JALAW,4,"High risk"
4853-RULSV,3,"Medium risk"
8098-TDCBU,1,"Low risk"
3551-GAEGL,1,"Low risk"
4785-NKHCX,3,"Medium risk"
3196-NVXLZ,4,"High risk"
6275-YDUVO,5,"High risk"
0036-IHMOT,2,"Medium risk"
0115-TFERT,3,"Medium risk"
4178-EGMON,2,"Medium risk"
4220-TINQT,3,"Medium risk"
5318-YKDPV,0,"Low risk"
7975-TZMLR,3,"Medium risk"
0295-QVKPB,2,"Medium risk"
4335-BSMJS,1,"Low risk"
2311-QYMUQ,4,"High risk"
3643-AHCFP,4,"High risk"
9146-JRIOX,2,"Medium risk"
3104-OWCGK,3,"Medium risk"
5337-IIWKZ,1,"Low risk"
9101-BWFSS,3,"Medium risk"
9650-VBUOG,1,"Low risk"
3487-EARAT,0,"Low risk"
2672-TGEFF,4,"High risk"
9231-ZJYAM,4,"High risk"
4250-WAROZ,4,"High risk"
8184-WMOFI,0,"Low risk"
6982-SSHFK,4,"High risk"
6092-QZVPP,1,"Low risk"
4625-LAMOB,1,"Low risk"
0727-BMPLR,3,"Medium risk"
0392-BZIUW,3,"Medium risk"
1038-ZAGBI,2,"Medium risk"
6549-NNDYT,2,"Medium risk"
3027-ZTDHO,6,"High risk"
0422-OHQHQ,1,"Low risk"
6916-HIJSE,1,"Low risk"
2316-ESMLS,1,"Low risk"
9778-OGKQZ,1,"Low risk"
7408-OFWXJ,1,"Low risk"
6007-TCTST,2,"Medium risk"
2252-NKNSI,1,"Low risk"
8713-IGZSO,3,"Medium risk"
7905-TVXTA,2,"Medium risk"
7695-PKLCZ,1,"Low risk"
2382-BCKQJ,3,"Medium risk"
8374-UULRV,1,"Low risk"
2207-NHRJK,4,"High risk"
3224-DFQNQ,2,"Medium risk"
5275-PMFUT,0,"Low risk"
4795-UXVCJ,1,"Low risk"
9777-IQHWP,3,"Medium risk"
0947-MUGVO,4,"High risk"
9944-HKVVB,5,"High risk"
4124-MMETB,5,"High risk"
3671-SHRSP,4,"High risk"
0979-MOZQI,0,"Low risk"
2732-ISEZX,3,"Medium risk"
3313-QKNKB,3,"Medium risk"
0323-XWWTN,2,"Medium risk"
1937-OTUKY,2,"Medium risk"
1573-LGXBA,3,"Medium risk"
1764-VUUMT,1,"Low risk"
5073-WXOYN,3,"Medium risk"
4713-ZBURT,3,"Medium risk"
3050-GBUSH,3,"Medium risk"
0207-MDKNV,4,"High risk"
7876-AEHIG,0,"Low risk"
7945-HLKEA,0,"Low risk"
9342-VNIMQ,2,"Medium risk"
9851-KIELU,5,"High risk"
3523-BRGUW,1,"Low risk"
3908-BLSYF,6,"High risk"
3199-NPKCN,2,"Medium risk"
5170-PTRKA,0,"Low risk"
4661-NJEUX,3,"Medium risk"
2123-AGEEN,5,"High risk"
1258-YMZNM,3,"Medium risk"
0048-LUMLS,3,"Medium risk"
7549-MYGPK,5,"High risk"
5898-IGSLP,3,"Medium risk"
3804-RVTGV,5,"High risk"
6259-WJQLC,4,"High risk"
9227-LUNBG,4,"High risk"
7997-EASSD,2,"Medium risk"
4315-MURBD,4,"High risk"
9734-YWGEX,6,"High risk"
2719-BDAQO,5,"High risk"
0781-LKXBR,6,"High risk"
1907-UBQFC,5,"High risk"
7508-SMHXL,4,"High risk"
6513-EECDB,5,"High risk"
3956-CJUST,3,"Medium risk"
4824-GUCBY,4,"High risk"
7074-IEVOJ,5,"High risk"
9625-QSTYE,5,"High risk"
4750-ZRXIU,5,"High risk"
6630-UJZMY,5,"High risk"
6400-BWQKW,5,"High risk"
6680-WKXRZ,4,"High risk"
9904-EHEVJ,4,"High risk"
7028-DVOIQ,5,"High risk"
4208-UFFGW,4,"High risk"
9448-REEVD,3,"Medium risk"
2826-DXLQO,3,"Medium risk"
9489-UTFKA,3,"Medium risk"
4849-PYRLQ,0,"Low risk"
9117-SHLZX,3,"Medium risk"
9889-TMAHG,5,"High risk"
4541-RMRLG,3,"Medium risk"
3158-MOERK,6,"High risk"
7294-TMAOP,6,"High risk"
8919-FYFQZ,3,"Medium risk"
2834-JRTUA,3,"Medium risk"
5875-YPQFJ,4,"High risk"
6646-QVXLR,4,"High risk"
8603-IJWDN,5,"High risk"
9369-XFEHK,4,"High risk"
3842-IYKUE,4,"High risk"
6641-XRPSU,4,"High risk"
1374-DMZUI,6,"High risk"
8357-EQXFO,6,"High risk"
1989-PRJHP,4,"High risk"
2858-EIMXH,3,"Medium risk"
9524-EGPJC,4,"High risk"
6993-OHLXR,5,"High risk"
8818-XYFCQ,5,"High risk"
6419-ZTTLE,1,"Low risk"
4695-VADHF,3,"Medium risk"
3863-IUBJR,3,"Medium risk"
8242-SOQUO,5,"High risk"
7460-ITWWP,4,"High risk"
7868-TMWMZ,2,"Medium risk"
4822-RVYBB,6,"High risk"
8436-BJUMM,3,"Medium risk"
4184-TJFAN,5,"High risk"
4145-UQXUQ,6,"High risk"
9948-YPTDG,4,"High risk"
1236-WFCDV,4,"High risk"
4883-QICIH,4,"High risk"
8329-IBCTI,3,"Medium risk"
1271-SJBGZ,3,"Medium risk"
5669-SRAIP,4,"High risk"
5981-ITEMU,4,"High risk"
6941-PMGEP,4,"High risk"
1624-WOIWJ,6,"High risk"
2074-GKOWZ,6,"High risk"
0376-YMCJC,3,"Medium risk"
4829-ZLJTK,3,"Medium risk"
0634-SZPQA,5,"High risk"
5536-RTPWK,5,"High risk"
8883-GRDWQ,0,"Low risk"
6166-ILMNY,5,"High risk"
3097-NNSPB,4,"High risk"
0655-RBDUG,6,"High risk"
4361-BKAXE,4,"High risk"
9845-PEEKO,2,"Medium risk"
1751-NCDLI,4,"High risk"
9878-TNQGW,5,"High risk"
4441-NIHPT,4,"High risk"
8999-BOHSE,6,"High risk"
7029-RPUAV,3,"Medium risk"
4607-CHPCA,3,"Medium risk"
8824-RWFXJ,4,"High risk"
9763-PDTKK,5,"High risk"
2176-LVPNX,1,"Low risk"
7627-JKIAZ,3,"Medium risk"
4081-DYXAV,1,"Low risk"
8111-SLLHI,4,"High risk"
0927-LCSMG,4,"High risk"
3452-ABWRL,4,"High risk"
8257-RZAHR,3,"Medium risk"
5293-WXJAK,4,"High risk"
1779-PWPMG,2,"Medium risk"
3082-WQRVY,1,"Low risk"
2460-NGXBJ,4,"High risk"
0841-NULXI,4,"High risk"
7851-WZEKY,6,"High risk"
8844-TONUD,5,"High risk"
5268-DSMNQ,3,"Medium risk"
4086-YQSNZ,6,"High risk"
6242-MBHPK,4,"High risk"
5868-CZJDR,4,"High risk"
0135-NMXAP,5,"High risk"
4782-OSFXZ,1,"Low risk"
1282-IHQAC,1,"Low risk"
6270-OMFIW,3,"Medium risk"
1641-RQDAY,4,"High risk"
0107-WESLM,4,"High risk"
3992-YWPKO,5,"High risk"
0125-LZQXK,4,"High risk"
5461-QKNTN,3,"Medium risk"
8399-YNDCH,3,"Medium risk"
5673-FSSMF,3,"Medium risk"
8089-UZWLX,3,"Medium risk"
1579-KLYDT,6,"High risk"
4468-KAZHE,2,"Medium risk"
3927-NLNRY,3,"Medium risk"
6358-LYNGM,4,"High risk"
5494-HECPR,6,"High risk"
9824-BEMCV,4,"High risk"
1373-ORVIZ,3,"Medium risk"
9866-QEVEE,5,"High risk"
9897-KXHCM,6,"High risk"
7979-CORPM,5,"High risk"
1618-CFHME,5,"High risk"
3165-HDOEW,4,"High risk"
6581-NQCBA,2,"Medium risk"
1689-MRZQR,3,"Medium risk"
1543-LLLFT,2,"Medium risk"
5835-BEQEU,5,"High risk"
5565-FILXA,5,"High risk"
5552-ZNFSJ,3,"Medium risk"
2223-KAGMX,3,"Medium risk"
6507-ZJSUR,4,"High risk"
7321-PKUYW,4,"High risk"
2833-SLKDQ,4,"High risk"
7595-EUIVN,5,"High risk"
2026-TGDHM,5,"High risk"
9220-ZNKJI,2,"Medium risk"
4030-VPZBD,3,"Medium risk"
0723-VSOBE,1,"Low risk"
4187-CINZD,4,"High risk"
6818-WOBHJ,5,"High risk"
1004-NOZNR,3,"Medium risk"
1251-STYSZ,5,"High risk"
2408-TZMJL,4,"High risk"
9681-KYGYB,4,"High risk"
7005-CYUIL,2,"Medium risk"
2388-LAESQ,2,"Medium risk"
9134-CEQMF,6,"High risk"
3108-PCCGG,2,"Medium risk"
7993-PYKOF,5,"High risk"
5027-XWQHA,4,"High risk"
6729-GDNGC,4,"High risk"
4566-QVRRW,4,"High risk"
8519-IMDHU,4,"High risk"
0201-OAMXR,3,"Medium risk"
3372-KWFBM,4,"High risk"
7831-QGOXH,4,"High risk"
6393-WRYZE,5,"High risk"
6599-RCLCJ,4,"High risk"
9831-BPFRI,3,"Medium risk"
1725-MIMXW,4,"High risk"
0031-PVLZI,4,"High risk"
7206-GZCDC,4,"High risk"
4791-QRGMF,3,"Medium risk"
1768-ZAIFU,4,"High risk"
4671-LXRDQ,4,"High risk"
1934-SJVJK,4,"High risk"
3838-OZURD,5,"High risk"
9269-CQOOL,4,"High risk"
2845-HSJCY,5,"High risk"
1184-PJVDB,5,"High risk"
9415-DPEWS,3,"Medium risk"
7943-RQCHR,6,"High risk"
3793-MMFUH,5,"High risk"
3249-ZPQRG,5,"High risk"
2568-BRGYX,5,"High risk"
7721-JXEAW,3,"Medium risk"
7249-WBIYX,5,"High risk"
4238-HFHSN,4,"High risk"
6567-HOOPW,4,"High risk"
3164-AALRN,3,"Medium risk"
3334-CTHOL,4,"High risk"
4704-ERYFC,4,"High risk"
8621-MNIHH,5,"High risk"
0471-LVHGK,2,"Medium risk"
9518-RWHZL,4,"High risk"
5419-CONWX,6,"High risk"
6240-EURKS,3,"Medium risk"
6960-HVYXR,5,"High risk"
7024-OHCCK,5,"High risk"
2692-BUCFV,4,"High risk"
7861-UVUFT,4,"High risk"
5651-WYIPH,2,"Medium risk"
5357-TZHPP,6,"High risk"
0680-DFNNY,5,"High risk"
8752-GHJFU,2,"Medium risk"
6896-SRVYQ,3,"Medium risk"
7767-UXAGJ,3,"Medium risk"
1571-SAVHK,5,"High risk"
9052-VKDUW,4,"High risk"
9546-CQJSU,6,"High risk"
0506-LVNGN,5,"High risk"
2480-EJWYP,3,"Medium risk"
2951-QOQTK,5,"High risk"
6806-YDEUL,3,"Medium risk"
0222-CNVPT,2,"Medium risk"
3473-XIIIT,4,"High risk"
7893-IXHRQ,4,"High risk"
2952-QAYZF,6,"High risk"
4763-PGDPO,5,"High risk"
5394-SVGJV,4,"High risk"
9283-LZQOH,4,"High risk"
7079-QRCBC,5,"High risk"
6048-UWKAL,2,"Medium risk"
5469-CTCWN,3,"Medium risk"
9851-QXEEQ,5,"High risk"
9290-SHCMB,4,"High risk"
2277-BKJKN,3,"Medium risk"
9809-IMGCQ,5,"High risk"
5208-HFSBT,3,"Medium risk"
8016-ZMGMO,1,"Low risk"
3254-YRILK,5,"High risk"
2667-WYLWJ,2,"Medium risk"
0529-ONKER,3,"Medium risk"
1728-CXQBE,4,"High risk"
0481-SUMCB,3,"Medium risk"
5240-IJOQT,5,"High risk"
2811-POVEX,4,"High risk"
1092-GANHU,4,"High risk"
0661-XEYAN,4,"High risk"
7881-EVUAD,4,"High risk"
5766-XQXMQ,3,"Medium risk"
3703-VAVCL,5,"High risk"
8519-QJGJD,3,"Medium risk"
7905-NJMXS,2,"Medium risk"
6326-MTTXK,6,"High risk"
0330-IVZHA,5,"High risk"
2886-KEFUM,3,"Medium risk"
4237-RLAQD,4,"High risk"
9957-YODKZ,5,"High risk"
9651-GTSAQ,3,"Medium risk"
3186-BAXNB,4,"High risk"
0637-YLETY,5,"High risk"
1157-BQCUW,5,"High risk"
3223-DWFIO,4,"High risk"
2660-EMUBI,6,"High risk"
3292-PBZEJ,4,"High risk"
7675-OZCZG,3,"Medium risk"
2003-CKLOR,4,"High risk"
0993-OSGPT,0,"Low risk"
9254-RBFON,3,"Medium risk"
1205-WNWPJ,2,"Medium risk"
9391-EOYLI,6,"High risk"
7108-DGVUU,1,"Low risk"
9906-NHHVC,1,"Low risk"
8152-UOBNY,2,"Medium risk"
7351-KYHQH,3,"Medium risk"
8387-MOJJT,4,"High risk"
2761-OCIAX,5,"High risk"
3068-OMWZA,6,"High risk"
6032-KRXXO,5,"High risk"
7459-RRWQZ,3,"Medium risk"
6374-NTQLP,2,"Medium risk"
4154-AQUGT,4,"High risk"
3092-IGHWF,3,"Medium risk"
8017-LXHFA,5,"High risk"
6352-TWCAU,5,"High risk"
2929-QNSRW,4,"High risk"
1262-OPMFY,4,"High risk"
6267-DCFFZ,4,"High risk"
2439-LYPMQ,4,"High risk"
4248-QPAVC,5,"High risk"
1899-VXWXM,4,"High risk"
4690-LLKUA,3,"Medium risk"
3331-HQDTW,5,"High risk"
9490-DFPMD,5,"High risk"
5442-XSDCW,5,"High risk"
7426-WEIJX,4,"High risk"
3049-NDXFL,5,"High risk"
8580-AECUZ,4,"High risk"
7963-GQRMY,4,"High risk"
1228-FZFRV,5,"High risk"
3761-FLYZI,4,"High risk"
2058-DCJBE,5,"High risk"
5364-XYIRR,5,"High risk"
4829-AUOAX,4,"High risk"
5047-LHVLY,4,"High risk"
9158-VCTQB,4,"High risk"
6311-UEUME,4,"High risk"
1060-ENTOF,2,"Medium risk"
0999-QXNSA,3,"Medium risk"
9365-SRSZE,3,"Medium risk"
6839-ITVZJ,2,"Medium risk"
0375-HVGXO,3,"Medium risk"
8593-WHYHV,6,"High risk"
6097-EQISJ,4,"High risk"
4423-YLHDV,5,"High risk"
0107-YHINA,6,"High risk"
4918-FYJNT,3,"Medium risk"
4854-CIDCF,4,"High risk"
8640-SDGKB,3,"Medium risk"
3280-MRDOF,0,"Low risk"
6407-UTSLV,5,"High risk"
4116-TZAQJ,5,"High risk"
5935-FCCNB,4,"High risk"
3877-JRJIP,4,"High risk"
8375-DKEBR,5,"High risk"
9705-IOVQQ,3,"Medium risk"
7511-YMXVQ,4,"High risk"
7551-JOHTI,4,"High risk"
9804-ICWBG,5,"High risk"
5318-IXUZF,6,"High risk"
3198-VELRD,6,"High risk"
1320-REHCS,3,"Medium risk"
9436-ZBZCT,3,"Medium risk"
2057-BOYKM,2,"Medium risk"
0134-XWXCE,0,"Low risk"
7279-BUYWN,5,"High risk"
7156-MHUGY,5,"High risk"
7198-GLXTC,4,"High risk"
2307-FYNNL,2,"Medium risk"
5605-XNWEN,1,"Low risk"
0516-VRYBW,1,"Low risk"
2519-LBNQL,3,"Medium risk"
8623-ULFNQ,1,"Low risk"
8380-PEFPE,5,"High risk"
5687-DKDTV,3,"Medium risk"
7530-HDYDS,4,"High risk"
7789-HKSBS,3,"Medium risk"
3096-IZETN,4,"High risk"
5922-ABDVO,4,"High risk"
9172-ANCRX,6,"High risk"
6910-HADCM,4,"High risk"
4816-LXZYW,4,"High risk"
9606-PBKBQ,5,"High risk"
2070-XYMFH,3,"Medium risk"
5663-QBGIS,3,"Medium risk"
3536-IQCTX,5,"High risk"
4911-BANWH,4,"High risk"
8496-EJAUI,3,"Medium risk"
3402-XRIUO,1,"Low risk"
3132-TVFDZ,3,"Medium risk"
8080-DDEMJ,4,"High risk"
6365-MTGZX,4,"High risk"
1349-WXNGG,4,"High risk"
8058-DMYRU,4,"High risk"
6990-YNRIO,3,"Medium risk"
0621-TWIEM,4,"High risk"
3537-RYBHH,2,"Medium risk"
2485-ITVKB,4,"High risk"
3669-OYSJI,4,"High risk"
1612-EOHDH,3,"Medium risk"
6702-OHFWR,3,"Medium risk"
4510-PYUSH,3,"Medium risk"
7517-SAWMO,4,"High risk"
4143-HHPMK,4,"High risk"
7054-LGEQW,4,"High risk"
0523-VNGTF,1,"Low risk"
7105-MXJLL,1,"Low risk"
7064-FRRSW,3,"Medium risk"
0923-PNFUB,6,"High risk"
3494-JCHRQ,5,"High risk"
6474-FVJLC,6,"High risk"
8840-DQLGN,3,"Medium risk"
4547-LYTDD,4,"High risk"
6770-XUAGN,4,"High risk"
4193-ORFCL,4,"High risk"
1636-NTNCO,3,"Medium risk"
7776-QWNFX,2,"Medium risk"
6689-TCZHQ,4,"High risk"
3143-ILDAL,3,"Medium risk"
4720-VSTSI,5,"High risk"
3219-JQRSL,1,"Low risk"
3946-MHCZW,4,"High risk"
1845-CSBRZ,4,"High risk"
6651-AZVTJ,5,"High risk"
4566-GOLUK,4,"High risk"
2484-DGXPZ,2,"Medium risk"
4587-NUKOX,5,"High risk"
0420-BWTPW,4,"High risk"
8183-ONMXC,5,"High risk"
9614-RMGHA,4,"High risk"
5054-IEXZT,4,"High risk"
5834-ASPWA,4,"High risk"
3948-XHGNA,3,"Medium risk"
3723-BFBGR,2,"Medium risk"
0565-IYCGT,1,"Low risk"
5445-UTODQ,6,"High risk"
1024-VRZHF,5,"High risk"
9497-QCMMS,6,"High risk"
5692-ICXLW,4,"High risk"
0348-SDKOL,4,"High risk"
4373-MAVJG,5,"High risk"
8901-HJXTF,4,"High risk"
5419-KLXBN,5,"High risk"
3424-NMNBO,4,"High risk"
4514-GFCFI,5,"High risk"
9828-AOQLM,4,"High risk"
8000-REIQB,5,"High risk"
7615-ESMYF,3,"Medium risk"
3858-VOBET,2,"Medium risk"
7020-OZKXZ,4,"High risk"
1447-PJGGA,4,"High risk"
8565-CLBZW,4,"High risk"
9139-WQQDY,3,"Medium risk"
0224-HJAPT,4,"High risk"
8086-OVPWV,6,"High risk"
9430-FRQOC,5,"High risk"
3074-GQWYX,5,"High risk"
6845-RGTYS,5,"High risk"
8861-HGGKB,6,"High risk"
7065-YUNRY,4,"High risk"
7694-VLBWQ,4,"High risk"
4795-KTRTH,6,"High risk"
0308-GIQJT,2,"Medium risk"
6481-OGDOO,4,"High risk"
3753-TSEMP,5,"High risk"
8305-VHZBZ,4,"High risk"
8775-ERLNB,4,"High risk"
8309-IEYJD,4,"High risk"
9172-JITSM,5,"High risk"
6298-QDFNH,4,"High risk"
7361-YPXFS,1,"Low risk"
6557-BZXLQ,3,"Medium risk"
9961-JBNMK,5,"High risk"
6173-ITPWD,5,"High risk"
9734-UYXQI,4,"High risk"
2189-UXTKY,2,"Medium risk"
4958-GZWIY,4,"High risk"
4832-VRBMR,3,"Medium risk"
6356-ELRKD,6,"High risk"
8624-GIOUT,3,"Medium risk"
6179-GJPSO,4,"High risk"
7901-TBKJX,4,"High risk"
3177-LASXD,3,"Medium risk"
9919-FZDED,2,"Medium risk"
4897-QSUYC,3,"Medium risk"
1084-UQCHV,5,"High risk"
8290-YWKHZ,4,"High risk"
2955-BJZHG,5,"High risk"
3806-DXQOM,4,"High risk"
9300-RENDD,4,"High risk"
0761-AETCS,4,"High risk"
2153-MREFK,3,"Medium risk"
7206-PQBBZ,4,"High risk"
3106-ULWFW,6,"High risk"
0925-VYDLG,4,"High risk"
4349-GFQHK,3,"Medium risk"
7802-EFKNY,4,"High risk"
8035-BUYVG,2,"Medium risk"
9787-XVQIU,4,"High risk"
8945-MUQUF,3,"Medium risk"
8051-HJRLT,4,"High risk"
3023-GFLBR,5,"High risk"
4079-VTGLK,1,"Low risk"
0524-IAVZO,5,"High risk"
2737-YNGYW,5,"High risk"
5159-YFPKQ,5,"High risk"
4021-RQSNY,4,"High risk"
2931-VUVJN,2,"Medium risk"
9061-TIHDA,4,"High risk"
8699-ASUFO,4,"High risk"
7927-AUXBZ,4,"High risk"
2878-RMWXY,3,"Medium risk"
7375-WMVMT,2,"Medium risk"
4695-WJZUE,6,"High risk"
7619-ODSGN,3,"Medium risk"
3988-RQIXO,5,"High risk"
7622-FWGEW,1,"Low risk"
2514-GINMM,5,"High risk"
5931-FLJJF,5,"High risk"
2659-VXMWZ,3,"Medium risk"
0380-NEAVX,3,"Medium risk"
3207-OYBWH,5,"High risk"
4285-GYRQC,6,"High risk"
7216-EWTRS,6,"High risk"
8337-MSSXB,5,"High risk"
8495-LJDFO,3,"Medium risk"
1302-UHBDD,4,"High risk"
8182-BJDSI,5,"High risk"
2528-HFYZX,4,"High risk"
3597-YASZG,2,"Medium risk"
2482-CZGBB,5,"High risk"
3420-ZDBMA,4,"High risk"
3398-GCPMU,1,"Low risk"
1013-QCWAM,4,"High risk"
0866-QLSIR,1,"Low risk"
7181-BQYBV,6,"High risk"
0336-PIKEI,0,"Low risk"
7322-OCWHC,2,"Medium risk"
6204-IEUXJ,4,"High risk"
4529-CKBCL,6,"High risk"
2506-CLAKW,5,"High risk"
1583-IHQZE,4,"High risk"
5732-IKGQH,2,"Medium risk"
0151-ONTOV,5,"High risk"
4140-MUHUG,6,"High risk"
0093-EXYQL,4,"High risk"
0320-JDNQG,4,"High risk"
7180-PISOG,4,"High risk"
9168-INPSZ,3,"Medium risk"
3571-RFHAR,4,"High risk"
0015-UOCOJ,3,"Medium risk"
5334-AFQJB,1,"Low risk"
2754-SDJRD,4,"High risk"
9578-VRMNM,3,"Medium risk"
1587-FKLZB,5,"High risk"
6140-QNRQQ,5,"High risk"
4307-KTUMW,5,"High risk"
1465-LNTLJ,2,"Medium risk"
5440-FLBQG,2,"Medium risk"
7470-MCQTK,3,"Medium risk"
7488-MXJIV,6,"High risk"
2027-FECZV,6,"High risk"
2672-DZUOY,4,"High risk"
4706-DGAHW,3,"Medium risk"
3870-MQAMG,3,"Medium risk"
4800-CZMPC,4,"High risk"
7377-DMMRI,4,"High risk"
8552-OBVRU,3,"Medium risk"
9776-OJUZI,4,"High risk"
8949-JTMAY,5,"High risk"
2774-LVQUS,3,"Medium risk"
0869-PAPRP,4,"High risk"
4238-JSSWH,4,"High risk"
9121-PHQSR,4,"High risk"
3211-ILJTT,4,"High risk"
4612-THJBS,3,"Medium risk"
4094-NSEDU,5,"High risk"
9796-MVYXX,0,"Low risk"
5103-MHMHY,4,"High risk"
7268-IGMFD,3,"Medium risk"
1846-XWOQN,5,"High risk"
0235-KGSLC,6,"High risk"
0013-SMEOE,2,"Medium risk"
2884-GBPFB,3,"Medium risk"
3757-NJYBX,5,"High risk"
2573-GYRUU,4,"High risk"
5136-KCKGI,4,"High risk"
6486-LHTMA,3,"Medium risk"
4083-BFNYK,3,"Medium risk"
3722-WPXTK,6,"High risk"
1089-HDMKP,2,"Medium risk"
2929-ERCFZ,6,"High risk"
7548-SEPYI,6,"High risk"
8835-VSDSE,4,"High risk"
1623-NLDOT,1,"Low risk"
9898-KZQDZ,5,"High risk"
0141-YEAYS,4,"High risk"
9603-OAIHC,4,"High risk"
5236-PERKL,4,"High risk"
7854-FOKSF,4,"High risk"
2519-FAKOD,5,"High risk"
8406-LNMHF,3,"Medium risk"
8263-JQAIK,3,"Medium risk"
0023-UYUPN,1,"Low risk"
6360-SVNWV,3,"Medium risk"
7089-IVVAZ,5,"High risk"
9050-IKDZA,5,"High risk"
2205-YMZZJ,5,"High risk"
1254-IZEYF,4,"High risk"
9492-TOKRI,5,"High risk"
9221-OTIVJ,5,"High risk"
3325-FUYCG,4,"High risk"
5908-QMGOE,4,"High risk"
1197-BVMVG,4,"High risk"
8481-YYXWG,4,"High risk"
5198-EFNBM,3,"Medium risk"
7516-GMHUV,3,"Medium risk"
2609-IAICY,4,"High risk"
1740-CSDJP,4,"High risk"
2636-OHFMN,4,"High risk"
1323-OOEPC,5,"High risk"
0397-GZBBC,5,"High risk"
6614-YWYSC,1,"Low risk"
7641-EUYET,5,"High risk"
9921-ZVRHG,5,"High risk"
4701-MLJPN,1,"Low risk"
9206-GVPEQ,2,"Medium risk"
1596-BBVTG,3,"Medium risk"
8433-WXGNA,4,"High risk"
8735-SDUFN,1,"Low risk"
3707-GNWHM,5,"High risk"
7016-NVRIC,3,"Medium risk"
8922-LIEGH,4,"High risk"
8245-UMPYT,4,"High risk"
5186-SAMNZ,5,"High risk"
5373-SFODM,5,"High risk"
5766-ZJYBB,4,"High risk"
8931-GJJIQ,6,"High risk"
4277-PVRAN,6,"High risk"
0022-TCJCI,2,"Medium risk"
9825-YCXWZ,2,"Medium risk"
2000-DHJUY,1,"Low risk"
0203-HHYIJ,1,"Low risk"
0952-KMEEH,5,"High risk"
9796-BPKIW,4,"High risk"
9137-NOQKA,3,"Medium risk"
8178-EYZUO,5,"High risk"
5130-IEKQT,5,"High risk"
3230-WYKIR,2,"Medium risk"
0407-BDJKB,5,"High risk"
9600-UDOPK,4,"High risk"
4074-SJFFA,3,"Medium risk"
3269-ATYWD,5,"High risk"
4910-GMJOT,6,"High risk"
0354-WYROK,4,"High risk"
7748-UMTRK,3,"Medium risk"
6463-MVYRY,0,"Low risk"
7576-OYWBN,5,"High risk"
4526-ZJJTM,4,"High risk"
5539-TMZLF,5,"High risk"
4323-SADQS,3,"Medium risk"
4446-BZKHU,5,"High risk"
5202-IVJNU,2,"Medium risk"
5976-JCJRH,4,"High risk"
0137-OCGAB,5,"High risk"
3351-NQLDI,3,"Medium risk"
7593-JNWRU,4,"High risk"
4588-YBNIB,4,"High risk"
3336-JORSO,4,"High risk"
5315-CKEQK,1,"Low risk"
5028-GZLDO,5,"High risk"
6861-XWTWQ,6,"High risk"
6877-TJMBR,4,"High risk"
0907-HQNTS,2,"Medium risk"
6769-DCQLI,3,"Medium risk"
2433-KMEAS,3,"Medium risk"
8250-ZNGGW,2,"Medium risk"
2195-ZRVAX,4,"High risk"
3550-SAHFP,5,"High risk"
2011-TRQYE,3,"Medium risk"
4873-ILOLJ,5,"High risk"
2725-KXXWT,5,"High risk"
9565-DJPIB,6,"High risk"
8348-HFYIV,3,"Medium risk"
8166-ORCHU,2,"Medium risk"
6849-WLEYG,3,"Medium risk"
4659-NZRUF,4,"High risk"
8429-XIBUM,5,"High risk"
1855-CFULU,3,"Medium risk"
2608-BHKFN,5,"High risk"
7341-LXCAF,5,"High risk"
9462-MJUAW,4,"High risk"
8128-YVJRG,5,"High risk"
4283-FUTGF,3,"Medium risk"
1569-TTNYJ,5,"High risk"
8628-MFKAX,2,"Medium risk"
2397-BRLOM,6,"High risk"
9508-ILZDG,3,"Medium risk"
4749-VFKVB,4,"High risk"
7598-UAASY,5,"High risk"
7938-OUHIO,4,"High risk"
8510-AWCXC,5,"High risk"
6128-AQBMT,2,"Medium risk"
0431-APWVY,3,"Medium risk"
4295-YURET,0,"Low risk"
3426-NIYYL,3,"Medium risk"
8225-BTJAU,5,"High risk"
3387-VATUS,5,"High risk"
1143-NMNQJ,6,"High risk"
7693-QPEFS,3,"Medium risk"
0924-BJCRC,4,"High risk"
0415-MOSGF,4,"High risk"
